Text,Category
The food served was cold and tasteless.,Food Issue
The food served was cold and tasteless.,Food Issue
There were insects in the meal provided.,Food Issue
The food was stale and smelled bad.,Food Issue
The food was stale and smelled bad.,Food Issue
The food was stale and smelled bad.,Food Issue
The food served was cold and tasteless.,Food Issue
The food was not delivered even after ordering.,Food Issue
The food served was cold and tasteless.,Food Issue
The food was not delivered even after ordering.,Food Issue
The quality of the food was very poor.,Food Issue
"The compartment was dirty, and no one cleaned it.",Cleanliness Issue
"The compartment was dirty, and no one cleaned it.",Cleanliness Issue
"The compartment was dirty, and no one cleaned it.",Cleanliness Issue
The toilets were filthy and had no water.,Cleanliness Issue
The toilets were filthy and had no water.,Cleanliness Issue
The windows were so dirty that I couldn't see outside.,Cleanliness Issue
The windows were so dirty that I couldn't see outside.,Cleanliness Issue
"The compartment was dirty, and no one cleaned it.",Cleanliness Issue
The windows were so dirty that I couldn't see outside.,Cleanliness Issue
The toilets were filthy and had no water.,Cleanliness Issue
The windows were so dirty that I couldn't see outside.,Cleanliness Issue
My seat was given to another passenger.,Ticket Issue
The ticket booking system crashed during my booking.,Ticket Issue
My seat was given to another passenger.,Ticket Issue
The online ticket cancellation did not work.,Ticket Issue
I was charged twice for a single ticket.,Ticket Issue
My ticket was not confirmed even after payment.,Ticket Issue
The ticket booking system crashed during my booking.,Ticket Issue
My seat was given to another passenger.,Ticket Issue
I was charged twice for a single ticket.,Ticket Issue
I was charged twice for a single ticket.,Ticket Issue
The ticket booking system crashed during my booking.,Ticket Issue
The conductor ignored my requests for assistance.,Staff Behavior
The staff did not provide any information about the delay.,Staff Behavior
The staff was rude and unhelpful.,Staff Behavior
The staff was rude and unhelpful.,Staff Behavior
The ticket checker was very aggressive.,Staff Behavior
The staff was rude and unhelpful.,Staff Behavior
The staff did not provide any information about the delay.,Staff Behavior
The staff did not provide any information about the delay.,Staff Behavior
The staff was not wearing proper uniforms.,Staff Behavior
The staff did not provide any information about the delay.,Staff Behavior
The staff was rude and unhelpful.,Staff Behavior
The train frequently stopped between stations for no reason.,Delay/Cancellation
The delay caused me to miss my connecting train.,Delay/Cancellation
The train was delayed by 3 hours without any notice.,Delay/Cancellation
The train frequently stopped between stations for no reason.,Delay/Cancellation
The train was delayed by 3 hours without any notice.,Delay/Cancellation
The delay caused me to miss my connecting train.,Delay/Cancellation
There was no information provided for the delay.,Delay/Cancellation
The delay caused me to miss my connecting train.,Delay/Cancellation
There was no information provided for the delay.,Delay/Cancellation
The delay caused me to miss my connecting train.,Delay/Cancellation
My train was canceled at the last minute.,Delay/Cancellation
"The seat was broken, and I couldn't sit comfortably.",Comfort Issue
"The seat was broken, and I couldn't sit comfortably.",Comfort Issue
The air conditioning was not working.,Comfort Issue
The lights in the compartment were flickering.,Comfort Issue
"The seat was broken, and I couldn't sit comfortably.",Comfort Issue
The air conditioning was not working.,Comfort Issue
"The seat was broken, and I couldn't sit comfortably.",Comfort Issue
"The train was overcrowded, making it very uncomfortable.",Comfort Issue
The lights in the compartment were flickering.,Comfort Issue
"The train was overcrowded, making it very uncomfortable.",Comfort Issue
The lights in the compartment were flickering.,Comfort Issue
My luggage was damaged during the journey.,Luggage Issue
There was no space to store my luggage.,Luggage Issue
There was no space to store my luggage.,Luggage Issue
My luggage was damaged during the journey.,Luggage Issue
There was no space to store my luggage.,Luggage Issue
"My luggage was misplaced, and I couldn't find it.",Luggage Issue
The luggage handling was very poor.,Luggage Issue
My luggage was damaged during the journey.,Luggage Issue
The luggage handling was very poor.,Luggage Issue
My luggage was damaged during the journey.,Luggage Issue
My luggage was damaged during the journey.,Luggage Issue
The briyani is bad.,Food Issue
The chicken fries are so small.,Food Issue
The quantity is not sufficient.,Food Issue
The meat is undercooked.,Food Issue
